insert into phenome.locus (population_id, locus_name, locus_symbol, locus_synonym, original_symbol) values ((select population_id from phenome.population where phenome.population.population_name like 'tgrc'), 'anthocyaninless', 'a', '{a1,a}', 'a');										
locus_id	population_id	locus_name	locus_symbol	locus_synonym	original_symbol	gene_activity	gi_list	pubmed_list	unigene_id	notes
	tgrc	6-Phosphogluconate dehydrogenase-2	pgdh2	Pgdh-2	Pgdh-2					
	tgrc	6-Phosphogluconate dehydrogenase-3	pgdh3	Pgdh-3	Pgdh-3					
	ncbi	60S ribosomal protein L10	ACI29			60S ribosomal protein L10 (ACI29)	47104174|68449755			
	ncbi	ABI3	ABI3				59323617			
	tgrc	aborted inflorescence	abi		abi					
	ncbi	abscission polygalacturonase 2	TAPG2				924649|1575704	7647297|9112778		
	ncbi	ACI112	ACI112				68449765			
	ncbi	ACI13	ACI13				68449751			
	ncbi	ACI14	ACI14				68449769			
	ncbi	ACI19	ACI19				68449767			
	ncbi	ACI49	ACI49				68449763			
	tgrc	Acid phosphatase-2	aps2	Aps-2	Aps-2					
	tgrc	Aconitase-1	aco1	Aco-1	Aco-1					
	tgrc	Aconitase-2	aco2	Aco-2	Aco-2					
	tgrc	acroxantha	acr	acr1	acr1					
	ncbi	actin	ACT				57834203|47105122			
n	tgrc	acumbens-2	acu2		acu-2					
	ncbi	ADP-glucose pyrophosphorylase large subunit 1	AGPS1	AGP-S1agpL1			1947083|1778433	9469935		
	ncbi	ADP-glucose pyrophosphorylase large subunit 2	AGPS2	AGP-S2,agpL2			47105227|1840113|1778435	9469935		
	ncbi	ADP-glucose pyrophosphorylase large subunit 3	agpL3				1840115	9469935		
	tgrc	adpressa	adp		adp					
n	tgrc	adpressa-2	adp2		adp-2					
	tgrc	adusta	adu	adu1	adu					
n	tgrc	adusta-2	adu2		adu-2					
n	tgrc	adusta-3	adu3		adu-3					
n	tgrc	aegrescens-2	ags2		ags-2					
	tgrc	aegrota	aeg		aeg					
n	tgrc	aegrota-2	aeg2		aeg-2					
	tgrc	aerial roots	aer		aer					
	tgrc	aerial roots-2	aer2	aer-2	aer-2					
	ncbi	resistance complex protein I2C-3	I2C3	I2C-3		fusarium resistance	2258318	9144960		
	ncbi	resistance complex protein I2C-4	I2C4	I2C-4		fusarium resistance	2318004	9144960		
	ncbi	E8 protein homolog	E86	E8-6			2218140			
	ncbi	gamma-glutamylcysteine synthetase 1	GSH1				2407614			
	ncbi	glutathione synthetase 2	GSH2				2407616			
	ncbi	auxin-regulated IAA1	IAA1				3043892	7480327|11094981		
	ncbi	auxin-regulated IAA2	IAA2				3043894	11094981		
	ncbi	auxin-regulated IAA3	IAA3				3043896	11094981		
	ncbi	auxin-regulated IAA5	IAA5				304390	11094981		
	ncbi	auxin-regulated IAA6	IAA6				3043902	11094981		
	ncbi	auxin-regulated IAA7	IAA7				3043904	11094981		
	ncbi	auxin-regulated IAA9	IAA9				3043908	11094981		
	ncbi	auxin-regulated IAA10	IAA10				3043910	11094981		
	ncbi	auxin-regulated IAA11	IAA11				3043912	11094981		
	ncbi	COP1 homolog	COP1				4090942			
	ncbi	phantastica	phan				5230655	8012051		w3 - ask Yuval fro permission
	ncbi	cystatin (LTC)	LTC				6671191			
	ncbi	ripening regulated protein DDTFR8	DDTFR8				12231291			
	ncbi	ripening regulated protein DDTFR10/A	DDTFR10A	DDTFR10/A			12231293			
	ncbi	ripening regulated protein DDTFR19	DDTFR19				12231297			
	ncbi	ripening regulated protein DDTFR10	DDTFR10				12231299			
	ncbi	ripening regulated protein (DDTFR5)	DDTFR5				12231301			
	ncbi	ripening regulated protein (DDTFR20)	DDTFR20				12231302			
	ncbi	ripening regulated protein (DDTFR6)	DDTFR6				12231304			
	ncbi	ripening regulated protein (DDTFR7)	DDTFR7				12231305			
	ncbi	ripening regulated protein (DDTFR14)	DDTFR14				12231306			
	ncbi	ripening regulated protein (DDTFR17)	DDTFR17				12231307			
	ncbi	aldehyde oxidase 2	AO2			aldehyde oxidase	10764215	11018259		
	ncbi	aldehyde oxidase 3	AO3			aldehyde oxidase	10764217	11018259		
	ncbi	aldehyde oxidase 4 pseudogene	AO4			aldehyde oxidase	10764219	11018259		
	ncbi	aldehyde oxidase 5pseudogene	AO5				10764220	11018259		
	ncbi	plasma membrane proton ATPase	LHA8				9716647			
	ncbi	plasma membrane H+-ATPase	LHA2			ATPase	9789538	7991683		
	ncbi	leucine-zipper transcription factor	NITF				14600165			
	tgrc	afertilis	afe	afe1	afe					
	tgrc	albescent	alb		alb					
	tgrc	albifolium	afl	af	afl					
n	tgrc	albifolium-2	afl2		afl-2					
n	tgrc	albina	ala		ala					
n	tgrc	albina-2	ala2		ala-2					
n	tgrc	albina-3	ala3		ala-3					
n	tgrc	albina-4	ala4		ala-4					
	tgrc	albo-punctata	apn		apn					
n	tgrc	albomarginata	ama		ama					
	tgrc	albovirens	avi	avi1	avi					
	tgrc	alcobaca	alc		alc					
	ncbi	alcohol dehydrogenase-3	GAD3	yfe37			7981381|717141	8580773		
	tgrc	Alcohol dehydrogenase-1	adh1	Adh-1	Adh-1					
	tgrc	alcohol dehydrogenase-2	adh2		Adh-2		19171|170367	1765164|8428654		
	ncbi	aldehyde oxidase 1	AO1	TAO1			10764213|1813703	11018259		
n	tgrc	Alfalfa mosaic	Am		Am					
	ncbi	alkaline alpha-galactosidase seed imbibition	SIP				23452225			
	ncbi	allene oxide cyclase	aoc			allene oxide cyclase	40643244|40643242|14423350|924631|47104611|8977960	7647301|10764787		
	ncbi	allene oxide synthase	AOS			allene oxide synthase	7677375|7581988	10859201		
	ncbi	alpha glucosidase II	gluII				38322938			
	ncbi	alpha-1,4-fucosyltransferase	FUT13			fucosyltransferase	18477219	12084979		
	ncbi	alpha-galactosidase	aGal				6164943	11432942		
	ncbi	alpha-L-arabinofuranosidase	ARF1				37777012|16417957			
	tgrc	Alternaria alternata resistance	ad		ad					
	tgrc	Alternaria stem canker resistance	asc	Asc,asc-1	Asc	ceramide metabolism, AAL-toxin	16974105|16974113|7688741	12445127|10781105|10071209		
	tgrc	alutacea	alu	alu1	alu					
n	tgrc	alvoviridis	alv		alv					
	ncbi	amino acid transporter 1	AAP1			amino acid transporter 	27447654			
	ncbi	amino acid transporter 2	AAP2			amino acid transporter 	27447656			
	ncbi	amino acid transporter 3	AAP3			amino acid transporter 	27447652			
	ncbi	ammonium transporter	AMT2			ammonium transporter	47104570|2065193			
	ncbi	anaerobic basic leucine zipper protein	abz1				50830970			
	tgrc	anantha	an	an^1,an^2,ca	an					
n	tgrc	anantha-2	an2		an-2					
n	tgrc	anantha-3	an3		an-3					
n	tgrc	angusta	anu		anu					
n	tgrc	angustata	ana		ana					
n	tgrc	angustifolia-2	ang2		ang-2					
	ncbi	annexin p34	AN34				3378207	9857021		
	ncbi	annexin p35	AN35				47104390|3378203	9857021		
	ncbi	anthocyanin 1	ANT1				33867692	12897245		
	tgrc	anthocyanin absent	aa		aa					
	tgrc	anthocyanin free	af	a325	af					
	tgrc	Anthocyanin fruit	aft	Af	Af.					
	tgrc	anthocyanin gainer	ag		ag					
	tgrc	anthocyanin gainer-2	ag2	ag-2	ag-2					
	tgrc	anthocyanin loser	al	a2	al					
n	tgrc	anthocyanin loser-2	al2		al-2					
	tgrc	anthocyanin reduced	are		are					
SERIAL	tgrc	anthocyaninless	a	a,a1	a					
n	tgrc	antirrhinum	anr		anr					
	tgrc	apetalous	ap		ap					
n	tgrc	apocarpous	ac		ac					
	tgrc	applanata	apl		apl					
	tgrc	apricot	at		at					
	ncbi	arabinogalactan	AGP1c	AGP-1c			1430841|872126|47105864	7599320|8980516		
	ncbi	arachidonic acid-induced DEA1	Dea1	ctd5			6491765|46095206	11430427		
	ncbi	arginase 1	ARG1				54648779|47104701	15322128		
	ncbi	arginase 2	ARG2				54648781	15322128		
	ncbi	arginine decarboxylase	adc1			arginine decarboxylase	59668403			
n	tgrc	aridifolia	ari		ari					
n	tgrc	arrecta	ar		ar					
	ncbi	ascorbate oxidase	AO			ascorbate oxidase	66475039			
	ncbi	ascorbate peroxidase	apx2	APX2		cytosolic ascorbate peroxidase 2	73761752|62526497			
	ncbi	ascorbate peroxidase 6	apx6	APX6		thylakoid-bound ascorbate peroxidase 6 (APX6); chloroplast	68300917|21039133			
	ncbi	asparagine synthetase 1	AS1				30385426	15215512		
	ncbi	asparaginyl-tRNA synthetase	ats1				20269118			
n	tgrc	asynaptic	as		as					
n	tgrc	asynaptic-2	as2		as-2					
n	tgrc	asynaptic-3	as3		as-3					
n	tgrc	asynaptic-4	as4		as-4					
n	tgrc	asynaptic-5	as5		as-5					
n	tgrc	asynaptic-6	as6		as-6					
	tgrc	atroviolacium	atv		atv					
	tgrc	attenuata	atn	at	atn					
	tgrc	Aubergine	abg	Abg	Abg					
n	tgrc	aucta	auc		auc					
n	tgrc	aurantia	ant		ant					
n	tgrc	aurantiaca	aur		aur					
	tgrc	aurea	au		au					
	ncbi	AUREA phytochromobilin synthase	AUREA				62149355	15695440		
n	tgrc	aureata	aut		aut					
	tgrc	aureate virescent	auv		auv					
	tgrc	austera	aus		aus					
	ncbi	auxin-regulated AUX/IAA protein	IAA4	ctd1,iaa9		auxin-regulated IAA4	3043898|47104982|6491759|71040801|62242122	11094981|11430427|16126837		
	ncbi	auxin-regulated IAA8	IAA8				3043906|47105827	11094981		
	ncbi	AvrPto-dependent Pto-interacting protein 3	Adi3				57168302			
	ncbi	B-type cyclin	cycB1d1	cycB1.1			6434202	11113158		
	ncbi	B1-type cyclin dependent kinase	cdkB1				11125682	11500540		
	ncbi	B2-type cyclin dependent kinase	cdkB2				11125684	11500540		
	tgrc	baby lea syndrome	bls	alm	bls					
	ncbi	bacterial spot disease resistance protein 4	bsr4	bs4	GenBank: bs4	TIR-NB-LRR resistance protein	38489220|38489218	14675431		is this cf4 gene?
	ncbi	Bax inhibitor	BI1	BI-1			39579115			
	tgrc	beaked	bk		bk					
	tgrc	Beaked-2	bk2	Bk-2	Bk-2					
	ncbi	beclin 1	atg6				73587477			
	ncbi	bell-like homeodomain protein 1	BL1				31323444			
	ncbi	bell-like homeodomain protein 2	BL2				47104874|31323446			
	ncbi	bell-like homeodomain protein 3	BL3				31323442			
	ncbi	bell-like homeodomain protein 4	BL4				31323448			
	ncbi	beta-1,3-glucanase	bga2	ga2	GenBank: ga2		11558183			
	tgrc	Beta-carotene	b	B	B	chromoplast specific lycopene beta cyclase	8249884|10644118	11029576|10995464		
	ncbi	beta-carotene hydroxylase-1	CrtRb1	CrtR-b1		beta-carotene hydroxylase	5870597			
	ncbi	beta-carotene hydroxylase-2	CrtRb2	CrtR-b2		beta-carotene hydroxylase	5870599			
	ncbi	beta-galactosidase 6	TBG6			beta-galactosidase	7939624|47105193	10889266		
	ncbi	beta-galactosidase 7	TBG7			beta-galactosidase	7939620	10889266		
	ncbi	beta-galactosidase 2	TBG2			beta-galactosidase	7939616	10889266		
	ncbi	beta-galactosidase 5	TBG5			beta-galactosidase	7939622	10889266		
	tgrc	Beta-N-acetyl-D-glucosaminidase-1	bnag1	Bnag-1	Bnag-1					
	ncbi	beta-tubulin	TUB				77963734|47104480			
	ncbi	beta3-glucuronyltransferase	pglcat1				32968171			
	tgrc	bicolor	bc	bi	bc					
	tgrc	bifurcate inflorescence	bi		bi					
	ncbi	biotin carboxylase carrier	BCCP1				29169308			
	tgrc	bipinnata	bip		bip					
n	tgrc	bipinnata-2	bip2		bip-2					
	tgrc	blind	bl		bl	MYB transcription factor	18419455	11805344		
n	tgrc	Blossom-end rot resistance	Ber		Ber					
n	tgrc	blue-green	be		be					
n	tgrc	blunt	bn		bn					
	tgrc	brachytic	br		br					
	tgrc	Brilliant corolla	bco	Bco	Bco					
	tgrc	brittle stem	btl		btl					
	tgrc	brown seed	bs		bs					
	tgrc	brown seed-2	bs2	bs-2	bs-2					
n	tgrc	brown seed-3	bs3		bs-3					
	tgrc	brown seed-4	bs4	bs-4	bs-4					
	tgrc	bullata	bul		bul					
	tgrc	bullosa	buo	buo1	buo					
n	tgrc	bursting digenic inheritance	Bt		Bt					
n	tgrc	bursting resistance	bg		bg					
	tgrc	bushy	bu	fru	bu					
	tgrc	bushy root	brt		brt					
	tgrc	bushy root-2	brt2	brt-2	brt-2					
	tgrc	cabbage	cb		cb					
	tgrc	cabbage leaf-2	cb2	cb-2	cb-2					
	tgrc	cactiflora	ccf		ccf					
	ncbi	calcineurin B-like interacting protein kinase	cipk				66765940			
	ncbi	calcium sensor calcineurin B	cbl				66765938			
	ncbi	calcium-dependent protein kinase	cpk1				19171501	12011347		
	ncbi	calmodulin	CALM1LE				170395			
	ncbi	calmodulin TOMCALM2LE	calm2	N6	GenBank: TOMCALM2LE		2388890|2388888|47105956			
	ncbi	calmodulin-binding diacylglycerol kinase	DGK1				10798889|10798889	11069705		
	ncbi	calnexin-like protein	CNX	CNX61			67077849|47105096			
	tgrc	cana	cn	ca	cn					
	ncbi	carbonic anhydrase	ca1			carbonic anhydrase	47104406|56562174			
	tgrc	carinata	car		car					
	tgrc	carinata-2	car2	car2,car-2	car-2					
	ncbi	carotenoid cleavage dioxygenase 1A	CCD1A				49659725	15584954		
	ncbi	carotenoid cleavage dioxygenase 1B	CCD1B				49659727	15584954		
	tgrc	carotenoid isomerase	crtiso	tangerine	t	carotenoid isomerase	19550436	11884678		
	ncbi	catalase	cat1				170397			
n	tgrc	cernua	ce		ce					
	ncbi	CGI-144	cgi1				20269114			
	ncbi	chalcone isomerase	CHI			chalcone isomerase	33867694	12897245		
	tgrc	chartreuse	ch		ch					
	ncbi	chitinase	Chi2	Chi2;1		class II chitinase	1144306|19185	8400122|8639749		
n	tgrc	chloronerva	chln		chln					
	ncbi	chloroplast carbonic anhydrase	ca2			chloroplast carbonic anhydrase	56562176			
	ncbi	chloroplast glutamine synthetase	cgs		GenBank: gs	chloroplast glutamine synthetase	555969|47104680			
	ncbi	chloroplast malate dehydrogenase	chMDH			chloroplast malate dehydrogenase	52139821	15665243		
	ncbi	chloroplast malate dehydrogenase (mdh)	mdh			chloroplast malate dehydrogenase	47105303|56562182			
n	tgrc	chrysanthemum sterile	chrs		chrs					
	tgrc	cincta	ci	ci1	ci					
	ncbi	cinnamoyl-CoA reductase	CCR1			cinnamoyl-CoA reductase	65306611|47104455			
	ncbi	cinnamoyl-CoA reductase 2	CCR2			cinnamoyl-CoA reductase	65306613			
n	tgrc	circumsaepta	cir		cir					
n	tgrc	citrate concentration	ctr		ctr					
	tgrc	citriformis	cit		cit					
n	tgrc	citrina	cna		cna					
n	tgrc	Cladosporium fulvum resistance	Cf?		Cf-?					
	tgrc	Cladosporium fulvum resistance-1	cf1	cf1,Cf,Cf1,Cfsc	cf-1					
n	tgrc	Cladosporium fulvum resistance-10	Cf10		Cf-10					
n	tgrc	Cladosporium fulvum resistance-12	Cf12		Cf-12					
n	tgrc	Cladosporium fulvum resistance-19	Cf19		Cf-19					
	tgrc	Cladosporium fulvum resistance-2	cf2	Cf-2,Cf2,Cfp1	cf-2					
	tgrc	Cladosporium fulvum resistance-3	cf3	Cf-3,Cf3,Cfp2	cf-3					
	tgrc	Cladosporium fulvum resistance-4	cf4	Cf-4,Cf-1^2,Cf4	cf-5					
n	tgrc	Cladosporium fulvum resistance-5	Cf5		Cf-5	LRR	3894382	9811798		
	tgrc	Cladosporium fulvum resistance-6	cf6	Cf-6	cf-6					
	tgrc	Cladosporium fulvum resistance-7	cf7	Cf-7	cf-7					
	tgrc	Cladosporium fulvum resistance-9	cf9	Cf-9	cf-9	leucine-rich repeat	563232|2792183	7973631|98074802		
	tgrc	clara	cla		cla					
	tgrc	clarescens	cls		cls					
	ncbi	class II knotted-like homeodomain protein	T12	THox1			47105629|2529702|4098243	9484482		
	tgrc	clausa	clau	ff,vc,ics	clau					
n	tgrc	Clavibacter michiganensis resistance	Cmm		Cmm					
n	tgrc	Cleistogamous	Cl		Cl					
	tgrc	cleistogamous-2	cl2	cl-2,cl2	cl-2					
	ncbi	Clp protease 2 proteolytic subunit	clpP2				15485609|47104609			
	tgrc	coalita	clt		clt					
n	tgrc	coalita-2	clt2		clt-2					
	tgrc	cochlearis	co		co					
n	tgrc	cochlearis-2	co2		co-2					
	ncbi	coiled-coil protein	FPP				22652088			
n	tgrc	collecta	cle		cle					
	tgrc	colorless fruit epidermis	y		y					
	tgrc	commutata	cma		cma					
	tgrc	compact	cpt		cpt					
n	tgrc	compact inflorescence-2	cin2		cin-2					
n	tgrc	compacta	cp		cp					
n	tgrc	compactilis	cps		cps					
	tgrc	complicata	com	in	com					
n	tgrc	complicata-2	com2		com-2					
	tgrc	composita	cpa	cpa1	cpa					
	tgrc	compound inflorescence	s		s					
n	tgrc	condensata	cd		cd					
n	tgrc	conferta	cfa		cfa					
	tgrc	confunctiflora	cjf		cjf					
	tgrc	congesta	cg	cg1	cg					
n	tgrc	constricting corolla	cc		cc					
	tgrc	contaminata	cta	cta1	cta					
n	tgrc	contaminata-2	cta2		cta-2					
	tgrc	contracta	ctt		ctt					
n	tgrc	contracta-2	ctt2		ctt-2					
	tgrc	convalescens	con		con					
n	tgrc	convalescens-2	con2		con-2					
	tgrc	conversa	cva		cva					
n	tgrc	conversa-2	cva2		cva-2					
	tgrc	Convexa	cvx	Cvx	cvx					
	tgrc	convoluta	cvl	cvl1	cvl					
	ncbi	copalyl diphosphate synthase	CPS1		GenBank: CPS	GA biosynthesis	6009477			
	ncbi	copper chaperone	CCH				30039179			
	ncbi	copper/zinc superoxide dismutase copper chaperone precursor	CCS				5759319			
	ncbi	copz1 nonclathrin coat protein zeta1-COP	copz1				7259351			
	ncbi	copz2 nonclathrin coat protein zeta2-COP	copz2				7259353			
	tgrc	coriacea	cor		cor					
	tgrc	corky fruit	ck		ck					
n	tgrc	corollaless-2	cs2		cs-2					
	ncbi	coronatine-insensitive 1	Coi1				40218004	14688297		
	tgrc	corrotundata	coa	coa1	coa					
n	tgrc	corrupta	cru		cru					
n	tgrc	Corynebacterium resistance-1	Cor1		Cor-1					
n	tgrc	Corynebacterium resistance-2	Cor2		Cor-2					
	tgrc	cottony-root	crt		crt					
n	tgrc	cotyledon tops bifurcation	ctb		ctb					
	tgrc	Crinkled	crk	Crk	Crk					
	tgrc	Crispa	cri	Cri	cri					
	ncbi	cryptochrome 1b	Cry1b				15559007|47105102			
	ncbi	CTR1-like protein kinase-3	CTR3				40781627|47105945	15284494		
	ncbi	CTR1-like protein kinase-4	CTR4				40781631	15284494		
	ncbi	ctu2	ctu2				6651244|6580546	11430427|11485202		
	tgrc	Cucumber mosaic resistance	cmr	Cmr	cmr					
	tgrc	culcitula	cul		cul					
	ncbi	cullin	cullin				3687388			
	ncbi	cultivar Rio Grande ELI3	Eli3				8099339|399633	8012051		
n	tgrc	cupida	cup		cup					
n	tgrc	cupuliformis	cpf		cpf					
n	tgrc	cupuliformis-2	cpf2		cpf-2					
n	tgrc	cupuliformis-3	cpf3		cpf-3					
	tgrc	curl-2	cu2	cu-2,cu2	cu-2					
	tgrc	curl-3	cu3	cu-3	cu-3	Leucine-Rich Repeat Receptor Kinase tBRI1/SR160	27085392	12468734	182282	similar to bri1
	tgrc	curly mottled	cm		cm					
n	tgrc	curta	cua		cua					
	tgrc	curvata	cv	cu,acu	cv					
n	tgrc	curvata-2	cv2		cv-2					
	tgrc	curvifolia	cur		cur					
n	tgrc	cyathiformis	cy		cy					
	ncbi	cyclin A1	CycA1				5420273	10987563		
	ncbi	cyclin A2	CycA2				5420275	10987563		
	ncbi	cyclin A3	CycA3				5420277|47105010	10987563		
	ncbi	cyclin B1	CycB1				5420279	10987563		
	ncbi	cyclin B2	CycB2				5420281	10987563		
	ncbi	cyclin D3.1	cycD3	CycD3;1			6434196|5679621	10987563|11113158		
	ncbi	cyclin dependent kinase C	CDKC				47105490|15215943	11500540		
	ncbi	cyclophilin	CyP				170439|47104493	1702215		
	ncbi	cyclophilin-like protein	pi2.1		GenBank: pi2		20269122			
	ncbi	cystatin (STC)	STC				399640|6671193	8012051		
	ncbi	cysteine protease CYP1	C14	tdi-65			5726640|170465|2828251	11444695		
	ncbi	cysteine proteinase	Cyp3	Cyp-3			1235544	8624407		
	ncbi	cytochrome b559 beta chain	ACI37				68449759			
	ncbi	cytochrome P450	P450				6688557			
	ncbi	cytoplasmic ribosomal protein S13	ACI39				68449761			
	ncbi	cytosolic ascorbate peroxidase 1	APX1				73761750			
	ncbi	cytosolic class II small heat shock protein HCT2	HSP17.4				3639074			
	ncbi	cytosolic malate dehydrogenase	cMDH				52139817	15665243		
	ncbi	cytosolic NADP-malic enzyme	ME2				804816|2150028			
	ncbi	D-type cyclin-2	CycD3;2				6434198	11113158		
	ncbi	D-type cyclin-3	CycD3;3				643420	11113158		
	tgrc	debilis	deb		deb					
	tgrc	declinata	de		de					
	tgrc	decomposita	dc	dc1	dc					
	tgrc	decumbens	dec		dec					
n	tgrc	decumbens-2	dec2		dec-2					
	ncbi	defective chloroplasts and leaves	DCL				1305530	8861949		
	ncbi	Defender Against apoptotic Death	dad1	dad-1			6491796	11430427		
	tgrc	Defoliator	df	Df	Df					
	tgrc	deformis	def		def					
	ncbi	dehydration responsive element binding protein 1	DREB1				25992099			
	ncbi	dehydration responsive element binding protein 2	DREB2				25992101			
	ncbi	dehydration-responsive element binding protein 3	DREB3				27436377			
	ncbi	dehydroascorbate reductase 1	DHAR1				66475035			
	ncbi	dehydroascorbate reductase 2	DHAR2				47104412|66475037			
	tgrc	deliquescens	deli		deli					
n	tgrc	deliquescens-2	deli2		deli-2					
	tgrc	Delta	del	Del	Del					
	ncbi	delta 1-pyrroline-5-carboxylate synthetase	PRO2	P5CS			58802474|1480669			
	ncbi	DEM2	Dem2				37223343	9634577		
n	tgrc	densa	den		den					
n	tgrc	densipinnata	dpi		dpi					
n	tgrc	deparca	dpa		dpa					
	tgrc	depauperata	depa		depa					
n	tgrc	depravata	dpr		dpr					
	tgrc	deprimata	dep		dep					
	tgrc	detorta	dtt		dtt					
	tgrc	detrimentosa	det		det					
n	tgrc	detrimentosa-2	det2		det-2					
	tgrc	diageotropica	dgt	lz-3	lz-3					
	tgrc	dialytic	dl		dl					
n	tgrc	Diaphorase-1	Dia1		Dia-1					
	tgrc	Diaphorase-2	dia2	Dia-2	Dia-2					
	tgrc	Diaphorase-3	dia3	Dia-3	Dia-3					
n	tgrc	Diaphorase-4	Dia4		Dia-4					
	tgrc	dilabens	dlb	dlb1	dlb					
	tgrc	dilatata	dt	dt1	dt					
n	tgrc	dilucida	dlu		dlu					
	tgrc	diluta	dil		dil					
n	tgrc	diluta-2	dil2		dil-2					
	tgrc	dimidiata	dmd		dmd					
	tgrc	diminuta	dim		dim					
	tgrc	diminuta-2	dim2	dim-2,dim2	dim-2					
	tgrc	diminutiva	dmt		dmt					
	tgrc	diospyros	dps		dps					
	tgrc	discolor	dis		dis					
n	tgrc	discolor-2	dis2		dis-2					
	tgrc	divaricata	div		div					
n	tgrc	divergens	di		di					
	ncbi	divinyl ether synthase	DES				11991244	11060314		
	tgrc	double dwarf	dd	d^xx	dd					
	tgrc	drooping leaf	dp		dp					
	tgrc	dumpy	dpy		dpy					
	tgrc	dupla	du		du					
	tgrc	dwarf	d	rob^imm	d	cytochrome P450 homolog	1421740	8672892	155829	
	tgrc	dwarf modifier	dm	d2	dm					
	tgrc	dwarf root	drt		drt					
	tgrc	dwarf sterile	ds		ds					
	tgrc	dwarf virescent	dv		dv					
	tgrc	dwarf-2	d2	d-2,rob2,robII,d2	d-2					
n	tgrc	dwarf-3	d3		d-3					
n	tgrc	dwarf-4	d4		d-4					
n	tgrc	dwarf-5	d5		d-5					
n	tgrc	dwarf-6	d6		d-6					
n	tgrc	dwarf-7	d7		d-7					
n	tgrc	dwarf-8	d8		d-8					
	ncbi	DWARF1/DIMINUTO	DWF1				50952900			
n	tgrc	earliness	er12.1		er12.1					
	tgrc	easy peeling	ep		ep					
	tgrc	echinata	eca		eca					
	ncbi	EIL-EIN3/EIL	EIL	EIL2			31790768|47105198|14280041	11359609		
