Acession	Description
pe0848	small plant, yellow
pe0849	flower morphology, 2 whorls of petals
pe0852	folded leaf upwards, small and yellow plant
pe0854	small and yellow plant
pe0857	small  plant
pe0858	small  plant
pe0861	4 cotyledons,  leaf texture
pe0867	pointed and elongated fruit
pe0869	albino
pe0874	leaf folded upwards
pe0878	small  plant
pe0883	inhibited growth
pe0884	yellow plant
pe0886	very small leaf
pe0887	yellow vains
pe0888	no meristem
pe0889	fruit not uniform
pe0891	inhibited growth
pe0893	distorted leaf
pe0895	distorted and variegated leaves
pe0896	leaf development
pe0897	yellow variegeted and distorted leaf
pe0900	fasciated stem
pe0907	inhibited growth
pe0908	yellow plant
pe0910	albino
pe0911	wilting
pe0914	inhibited growth
pe0915	inhibited growth
pe0916	inhibited growth
pe0917	inhibited growth
pe0918	joint cotyledons
pe0919	small distorted leaf
pe0920	yellow plant
pe0921	yellow plant
pe0922	small  plant
pe0924	3 cotyledons
pe0925	small  plant
pe0926	albino
pe0928	small  plant
pe0931	leaf texture
pe0936	distorted leaves
pe0941	leaf texture
pe0942	small  plant
pe0944	small  plant, dark green leaf
pe0946	 large distorted leaf 
pe0948	leaf folded upwards
pe0949	leaf texture
pe0952	small  plant
pe0955	wilting
pe0956	small  plant
pe0957	small  plant, leaf texture
pe0961	small  plant
pe0963	fasciated stem
pe0964	very inhibited, leaf distortion
pe0965	small  plant
pe0968	small  plant
pe0970	very inhibited, albino
pe0971	leaf becomes wiry later in development
pe0972	small  plant
pe0973	very inhibited
pe0974	albino
pe0975	yellow plant
pe0976	small  plant
pe0978	small  plant, distorted leaf
pe0980	inhibited growth
pe0982	yellow plant
pe0983	distorted leaves 
pe0985	distorted leaf
pe0989	 light green leaf
pe0990	inhibited growth
pe0991	inhibited growth
pe0992	inhibited growth
pe0994	small  plant
pe0995	small  plant
pe0997	joint cotyledons
pe0999	small  plant
pe1000	small  plant
pe1001	small plant, leaf folded upwards
pe1003	very inhibited
pe1004	yellow with green mosaic 
pe1006	small, round leaf
pe1007	small  plant
pe1008	small  plant
pe1009	very small, yellow
pe1012	small  plant
pe1013	distorted leaf 
pe1015	narrow leaf, leaf texture
pe1017	distorted growth
pe1018	folded leaf
pe1019	small leaf texture
pe1020	inhibited growth
pe1021	distorted growth
pe1022	small  plant
pe1023	small  plant
pe1027	inhibited growth, narrow leaf
pe1029	small plant, yellow
pe1033	small plant, yellow
pe1035	very inhibited , 3 cotyledons
pe1036	distorted growth
pe1037	yellow leaf
pe1038	small plant, leaf texture
pe1042	strong yellow leaf
pe1045	inhibited growth,  3 cotyledons
pe1050	distorted leaf
pe1053	inhibited growth, no shoot elongation                        
pe1054	fleshy leaves
pe1055	small plant,  light green leaf
pe1056	dwarf, dominant, dark green leaf
pe1058	meristema, yellow
pe1059	 leaf texture, purple spots 
pe1062	inhibited growth
pe1063	 leafs rolled upwards
pe1064	distorted leaf
pe1066	inhibited growth, distorted leaf
pe1067	wilting
pe1070	albino
pe1072	small plant
pe1073	no meristem
pe1075	small  plant
pe1077	small  plant
pe1078	3 cotyledons
pe1081	leaf texture 
pe1083	joint cotyledons 
pe1084	small  plant
pe1085	yellow leaf
pe1086	no meristem
pe1089	small  plant
pe1091	small  plant
pe1093	4 cotyledons,  leaf distortion
pe1094	albino
pe1101	dark green leaf with anthocyanin in vains 
pe1102	small  plant
pe1103	small  plant
pe1105	small  plant, dark green leaf
pe1108	small  plant
pe1109	small  plant
pe1110	small  plant, dark green leaf 
pe1111	small  plant
pe1113	folded leaf
pe1115	small  plant
pe1116	leaf texture 
pe1117	small plant, dark green
pe1119	no meristem
pe1121	inhibited growth
pe1123	yellow leaf
pe1125	small  plant
pe1126	small  plant
pe1127	flower morphology, 2 whorls of petal
pe1129	3-4 cotyledons, dwarf 
pe1130	small  plant
pe1131	 joint cotyledons
pe1133	distorted leaf
pe1134	small  plant
pe1135	 distorted growth
pe1136	inhibited growth
pe1137	leaf variegation
pe1138	flower morphology, enlarged petals
pe1140	small plant
pe1142	wiry leaf
pe1145	yellow leaf
pe1147	cluster of fruits, distorted growth
pe1148	leaf texture 
pe1149	small,yellow, inhibited
pe1150	inhibited growth
pe1151	yellow leaf 
pe1152	small  plant
pe1153	small  plant
pe1154	small  plant
pe1156	distorted growth
pe1157	dark green, distorted growth
pe1160	yellow leaf
pe1161	small  plant
pe1305	small  plant
pe1306	distorted growth habit
pe1314	dwarf
pe1325	inhibited growth
pe1326	distorted sympodial shoot growth
pe1329	dwarf
pe1331	dwarf
pe1339	light green fruit
pe1340	dwarf
pe1341	yellow leaf
pe1345	leaf texture, fruit skin 
pe1347	dwarf
pe1353	distorted leaf
pe1357	dark green leaf, dwarf, distorted growth (dumpy)
pe1360	light green fruit
pe1361	distorted growth habit
pe1366	inhibited growth
pe1370	dwarf
pe1375	distorted leaf, flower structure
pe1384	light green fruit, small fruit
pe1391	4 cotyledons
pe1395	small fruit
pe1396	distorted leaf 
pe1397	dark green fruit
pe1400	distorted leaf
pe1403	small leaf and fruit
pe1405	distorted leaf
pe1408	flower morphology
pe1412	distorted leaf
pe1421	distorted leaf
pe1427	distorted leaf
pe1438	dwarf
pe1441	dwarf
pe1442	distorted leaf
pe1456	dark green leaf
pe1457	small leaf
pe1461	dwarf, distorted leaf
pe1467	inhibited growth
pe1473	distorted growth habit, small plant
pe1475	inhibited growth
pe1476	inhibited growth
pe1490	dwarf
pe1494	inhibited growth
pe1499	flowers aborted
pe1502	distorted sympodial shoot growth
pe1508	inhibited growth
pe1514	yellow leaf, dominant
pe1516	flower morphology
pe1519	fruit peel texture 
pe1526	yellow leaf
pe1527	yellow leaf, inhibited
pe1534	flower morphology, enlarged petals
pe1536	wrinkles on fruit
pe1537	cluster of fruits
pe1538	purple spots on leaf
pe1540	dwarf, dominant
pe1543	yellow leaf
pe1554	light green fruit
pe1559	inhibited growth
pe1566	leaf texture 
pe1571	4 cotyledons
pe1575	small leaves
pe1584	dark green leaf, dwarf, distorted growth (dumpy)
pe1592	albino
pe1593	dwarf
pe1594	inhibited growth
pe1608	leaf texture 
pe1609	small plant, yellow leaf
pe1615	dwarf
pe1618	inhibited growth
pe1617	inhibited growth
pe1619	distorted growth habit
pe1627	inhibited growth
pe1632	inhibited growth, leaf rolled upwards
pe1638	inhibited growth
pe1645	dwarf
pe1648	leaf distorted, wiry shape
pe1652	fasciated stem, flowers aborted
pe1654	elongated fruit
pe1660	inhibited growth
pe1667	wrinkles on fruit
pe1669	leaf texture and shape
pe1675	dark green leaf, dwarf, distorted growth (dumpy)
pe1678	leaf texture and shape
pe1683	leaf distorted, wiry shape
pe1690	fasciated stem
pe1691	 flowers do not develop completely, small sympodial leaves
pe1694	albino
pe1695	inhibited growth
pe1701	inhibited growth
pe1704	dwarf
pe1706	long internodes on primary stem
pe1709	leaf texture and shape
pe1720	small leaf,distorted sympodial shoot growth
pe1723	distorted dark green leaf
pe1731	distorted leaf 
pe1733	distorted growth habit
pe1735	dark green leaf, dwarf, distorted growth (dumpy)
pe1737	dwarf
pe1743	necrotic spots on leaf
pe1746	distorted growth habit
pe1751	inhibited growth
pe1752	distorted leaf
pe1765	dwarf
pe1769	yellow leaf
pe1772	distorted leaf
pe1777	flowers aborted
pe1782	leaves rolled upwards
pe1790	inhibited growth, yellow leaf
pe1806	dwarf
pe1832	 flowers do not develop completely, small sympodial leaves
pe1835	dark green leaf, dwarf, distorted growth (dumpy)
pe1836	distorted growth habit
pe1838	inhibited growth
pe1842	distorted leaf
pe1844	inhibited growth, yellow leaf
pe1861	long pedicel
pe1862	distorted leaf
pe1867	inhibited growth
pe1870	distorted leaf
pe1874	yellow leaf
pe1879	distorted leaf
pe1883	elongated leaf
pe1889	inhibited growth
pe1890	distorted leaf
pe1891	yellow leaf
pe1905	yellow leaf
pe1914	light green leaf and fruit
pe1918	distorted leaf
pe1920	inhibited growth
pe1924	leaf texture and shape
pe1930	purple spots in young leaf
pe1955	decreased branching
pe1967	 flowers do not develop completely, small sympodial leaves
pe1971	distorted sympodial shoot growth, dominant
pe1973	flowers aborted
