contig	gi	accession	locus	locus name	locus symbol	activity	alias	description	keywords	organism	pubmed_ids	chromosome	mol_type	marker	allele	comments
Contig19	21533	X55752	X55752	actin 101	ac101		PoAc101	S.tuberosum PoAc101 gene for actin.	actin; actin gene	potato	2120451|		genomic DNA|			
	21531	X55746	X55746					S.tuberosum PoAc100 gene for actin (exons 2,3 & 4).	actin; actin gene	potato	2120451|		genomic DNA|			
Contig20	169547	M29965	POTPPIIIK	proteinase inhibitor 2	ppi2k	proteinase inhibitor	POTPPIIIK	Potato proteinase inhibitor IIK gene , 5' flank.	proteinase inhibitor IIK	potato	2405385|		genomic DNA|			
	169488	M15186	POTIIKA				POTIIKA	S.tuberosum (potato) inhibitor II-chloramphenicol acetyltransferase gene (IIK), complete cds.	inhibitor II-chloramphenicol acetyl transferase	potato			genomic DNA|			
	576528	L37519	POTPPINHB				POTPPINHB	Solanum tuberosum proteinase inhibitor II mRNA, complete cds.	double-headed proteinase inhibitor; proteinase inhibitor II	potato			mRNA|			
	21521	X04118	X04118					Potato gene for proteinase inhibitor II.	protease inhibitor II	potato	3016659|		genomic DNA|			
	73920934	DQ168323	DQ168323					Solanum tuberosum clone 071A09 proteinase inhibitor II precursor, mRNA, complete cds.		potato			mRNA|			
	73920930	DQ168321	DQ168321					Solanum tuberosum clone 063B06 proteinase inhibitor II precursor, mRNA, complete cds.		potato			mRNA|			
	21525	X03779	X03779					Potato (Solanum tuberosum) mRNA 2 for proteinase inhibitor II.	protease inhibitor	potato			mRNA|			
Contig21	56131238	AY778964	AY778964	8-13 class 1 patatin 	POTPATA	glycoprotein		Solanum tuberosum isolate 8-13 class I patatin gene, promoter region.		potato			genomic DNA|			
	40319698	AY485645	AY485645					Solanum tuberosum class I patatin gene, promoter region.		potato			genomic DNA|			
	169499	M18880	POTPATA					Potato patatin class I gene, complete cds.	patatin	potato	3371664|		genomic DNA|			
	21513	X03956	X03956					Potato (tetraploid variety Maris piper) patatin gene.	glycoprotein; patatin; storage protein; tuber protein	potato	3714488|		genomic DNA|			
Contig22	21548	X60398	X60398	patatin class 2	pgt2	glycoprotein		S.tuberosum promoter region and partial gene for patatin (clone pgT12).	class II promoter; patatin pgT12	potato	1932691|		genomic DNA|			
	21518	X17397	X17397				PGT2	S.tuberosum DNA for 5` upstream region and first exon of PGT2 gene.	patatin pgT2 gene	potato	2622451|		genomic DNA|			
	169511	M33113	POTPATAF		POTPATA2		POTPATAF	Potato patatin class II gene, 5' end.	patatin	potato	2841572|		genomic DNA|			
	21519	X16046	X16046				PGT3	Potato PGT3 gene for patatin.	patatin; PGT3 gene; transposon	potato	1966274|		genomic DNA|genomic DNA|			
	169513	M36064	POTPATAG				POTPATAG	Potato patatin class II gene, 5' end.	patatin	potato	2841572|		genomic DNA|			
	21550	X60397	X60397				PGT4	S.tuberosum promoter region and partial gene for patatin (clone pgT4).	class II promoter; patatin pgT4	potato	1932691|		genomic DNA|			
	21504	X07031	X07031				LPOT5	Potato class II patatin gene (LPOT5).	patatin	potato	2841572|		genomic DNA|			
	169529	M18885	POTPATF				POTPATF	Potato patatin class II gene, 5' end, clone PS22.	patatin	potato	3371664|		genomic DNA|			
	21502	X07030	X07030				LPOT23	Potato class II patatin gene (LPOT23).	patatin	potato	2841572|		genomic DNA|			
	169509	M37226	POTPATAE				POTPATAE	Potato patatin gene, 5' end.	patatin	potato	2841572|		genomic DNA|			
	169531	M18886	POTPATGA				POTPATGA	Potato patatin class II gene, 5' end, clone PS26.	patatin	potato	3371664|		genomic DNA|			
	21511	X03932	X03932					Solanum tuberosum gene for patatin.	patatin; storage protein	potato			genomic DNA|			
	261221	S51460	S51460				patatin A|patatin B	patatin A gene, patatin B gene [Solanum tuberosum=potatoes, HH578, tetraploid, Genomic, 4116 nt].		potato	1450383|		genomic DNA|			
Contig23	245200	S83742	S83742	x				U6 small nuclear RNA {coding region} [potatoes, Genomic, 102 nt].		potato	1783171|		genomic DNA|			
	21468	Z17302	Z17302	x				S.tuberosum U6 small nuclear RNA pseudogene.	pseudogene; small nuclear RNA; U6 small nuclear RNA	potato	8358031|		genomic DNA|			
	21467	Z17301	Z17301	x				S.tuberosum gene for U6 small nuclear RNA.	small nuclear RNA; U6 small nuclear RNA	potato	8358031|		genomic DNA|			
Contig24	516563	U11638	STU11638	ribosomal protein S16	rps16			Solanum tuberosum L. chloroplast ribosomal protein S16 (rps16) precursor mRNA, complete cds.		potato	7870829|		mRNA|			
	18032	Z11741	Z11741				trnK|ORF 509A|trnK|	S.tuberosum chloroplast genes for maturase, trnK for tRNA-Lys(UUU), rps16 for ribosomal protein S16.	maturase; ORF 509A; ribosomal protein S16; rsp16 gene; transfer; RNA-Lys; trnK gene	potato			genomic DNA|			
Contig25	117650682	EF057488	EF057488	zeaxanthin epoxidase 	zep	zeaxanthin epoxidase 		Solanum tuberosum zeaxanthin epoxidase mRNA, partial cds.		potato			mRNA|			
	76803516	DQ206629	DQ206629					Solanum tuberosum zeaxanthin epoxidase mRNA, complete cds.		potato			mRNA|			
Contig26	77641358	DQ206157	DQ206157	disease resistance I2 gene	sti21	disease resistance	i2	Solanum tuberosum clone 1934 I2 (I2) gene, partial cds.		potato	16570659|		genomic DNA|			
	1708711	U60070	STU60070	x			St121	Solanum tuberosum disease resistance homolog (St121) gene, partial cds.		potato	8944022|	11, 3	genomic DNA|			
	77641249	DQ206097	DQ206097					Solanum tuberosum clone 1927 I2 (I2) gene, partial cds.		potato	16570659|		genomic DNA|			
	77641256	DQ206101	DQ206101					Solanum tuberosum clone 2880 I2 (I2) gene, partial cds.		potato	16570659|		genomic DNA|			
	77641381	DQ206170	DQ206170					Solanum tuberosum clone 2879 I2 (I2) gene, partial cds.		potato	16570659|		genomic DNA|			
	77641361	DQ206159	DQ206159					Solanum tuberosum clone 1952 I2 (I2) gene, partial cds.		potato	16570659|		genomic DNA|			
	77641336	DQ206145	DQ206145					Solanum tuberosum clone 1915 I2 (I2) gene, partial cds.		potato	16570659|		genomic DNA|			
	77641365	DQ206161	DQ206161					Solanum tuberosum clone 1929 I2 (I2) gene, partial cds.		potato	16570659|		genomic DNA|			
	77641344	DQ206149	DQ206149					Solanum tuberosum clone 2855 I2 (I2) gene, partial cds.		potato	16570659|		genomic DNA|			
	77641293	DQ206121	DQ206121					Solanum tuberosum clone 1955 I2 (I2) gene, partial cds.		potato	16570659|		genomic DNA|			
	77641283	DQ206116	DQ206116					Solanum tuberosum clone 1930 I2 (I2) gene, partial cds.		potato	16570659|		genomic DNA|			
	77641319	DQ206135	DQ206135					Solanum tuberosum clone 1944 I2 (I2) gene, partial cds.		potato	16570659|		genomic DNA|			
	77641385	DQ206173	DQ206173					Solanum tuberosum clone 1931 I2 (I2) gene, partial cds.		potato	16570659|		genomic DNA|			
	77641297	DQ206123	DQ206123					Solanum tuberosum clone 1917 I2 (I2) gene, partial cds.		potato	16570659|		genomic DNA|			
	77641289	DQ206119	DQ206119					Solanum tuberosum clone 1920 I2 (I2) gene, partial cds.		potato	16570659|		genomic DNA|			
	77641374	DQ206166	DQ206166					Solanum tuberosum clone 2912 I2 pseudogene, partial sequence.		potato	16570659|		genomic DNA|			
	77641238	DQ206091	DQ206091					Solanum tuberosum clone 2904 I2 (I2) gene, partial cds.		potato	16570659|		genomic DNA|			
	77641310	DQ206130	DQ206130					Solanum tuberosum clone 1954 I2 (I2) gene, partial cds.		potato	16570659|		genomic DNA|			
	77641384	DQ206172	DQ206172					Solanum tuberosum clone 2887 I2 pseudogene, partial sequence.		potato	16570659|		genomic DNA|			
	77641326	DQ206139	DQ206139					Solanum tuberosum clone 2871 I2 pseudogene, partial sequence.		potato	16570659|		genomic DNA|			
	77641265	DQ206106	DQ206106					Solanum tuberosum clone 2911 I2 (I2) gene, partial cds.		potato	16570659|		genomic DNA|			
	77641390	DQ206176	DQ206176					Solanum tuberosum clone 2864 I2 (I2) gene, partial cds.		potato	16570659|		genomic DNA|			
	77641285	DQ206117	DQ206117					Solanum tuberosum clone 2896 I2 (I2) gene, partial cds.		potato	16570659|		genomic DNA|			
	77641346	DQ206150	DQ206150					Solanum tuberosum clone 1921 I2 pseudogene, partial sequence.		potato	16570659|		genomic DNA|			
	77641324	DQ206138	DQ206138					Solanum tuberosum clone 1948 I2 (I2) gene, partial cds.		potato	16570659|		genomic DNA|			
	77641253	DQ206099	DQ206099					Solanum tuberosum clone 1941 I2 (I2) gene, partial cds.		potato	16570659|		genomic DNA|			
	77641367	DQ206162	DQ206162					Solanum tuberosum clone 1943 I2 (I2) gene, partial cds.		potato	16570659|		genomic DNA|			
	77641232	DQ206087	DQ206087					Solanum tuberosum clone 1928 I2 (I2) gene, partial cds.		potato	16570659|		genomic DNA|			
	77641267	DQ206107	DQ206107					Solanum tuberosum clone 1959 I2 (I2) gene, partial cds.		potato	16570659|		genomic DNA|			
	77641258	DQ206102	DQ206102					Solanum tuberosum clone 1919 I2 (I2) gene, partial cds.		potato	16570659|		genomic DNA|			
	77641379	DQ206169	DQ206169					Solanum tuberosum clone 1926 I2 (I2) gene, partial cds.		potato	16570659|		genomic DNA|			
	77641316	DQ206133	DQ206133					Solanum tuberosum clone 1953 I2 pseudogene, partial sequence.		potato	16570659|		genomic DNA|			
	77641309	DQ206129	DQ206129					Solanum tuberosum clone 1932 I2 pseudogene, partial sequence.		potato	16570659|		genomic DNA|			
	77641260	DQ206103	DQ206103					Solanum tuberosum clone 1936 I2 pseudogene, partial sequence.		potato	16570659|		genomic DNA|			
	77641329	DQ206141	DQ206141					Solanum tuberosum clone 1924 I2 pseudogene, partial sequence.		potato	16570659|		genomic DNA|			
	77641347	DQ206151	DQ206151					Solanum tuberosum clone 1947 I2 (I2) gene, partial cds.		potato	16570659|		genomic DNA|			
	77641295	DQ206122	DQ206122					Solanum tuberosum clone 1916 I2 (I2) gene, partial cds.		potato	16570659|		genomic DNA|			
	77641291	DQ206120	DQ206120					Solanum tuberosum clone 1951 I2 (I2) gene, partial cds.		potato	16570659|		genomic DNA|			
	77641356	DQ206156	DQ206156					Solanum tuberosum clone 1923 I2 (I2) gene, partial cds.		potato	16570659|		genomic DNA|			
	77641321	DQ206136	DQ206136					Solanum tuberosum clone 1950 I2 (I2) gene, partial cds.		potato	16570659|		genomic DNA|			
	77641281	DQ206115	DQ206115					Solanum tuberosum clone 1957 I2 (I2) gene, partial cds.		potato	16570659|		genomic DNA|			
	77641279	DQ206114	DQ206114					Solanum tuberosum clone 1918 I2 (I2) gene, partial cds.		potato	16570659|		genomic DNA|			
	77641377	DQ206168	DQ206168					Solanum tuberosum clone 1945 I2 (I2) gene, partial cds.		potato	16570659|		genomic DNA|			
	77641236	DQ206090	DQ206090					Solanum tuberosum clone 1935 I2 (I2) gene, partial cds.		potato	16570659|		genomic DNA|			
Contig27	77641317	DQ206134	DQ206134	disease resistance I2 gene 2	sti22		I2	Solanum tuberosum clone 2935 I2 (I2) gene, partial cds.		potato	16570659|		genomic DNA|			
	77641307	DQ206128	DQ206128					Solanum tuberosum clone 2863 I2 (I2) gene, partial cds.		potato	16570659|		genomic DNA|			
Contig28	51989579	AY615276	AY615276	allene oxide syntase 	aos3	allene oxide syntase 		Solanum tuberosum AOS3 gene, partial cds.		potato	16255250|	10	genomic DNA|			
	76786465	DQ174273	DQ174273					Solanum tuberosum allene oxide syntase mRNA, complete cds.		potato	16960383|		mRNA|			
	56605357	AJ868542	AJ868542					Solanum tuberosum partial mRNA for allene oxide synthase (aos3 gene).	allene oxide synthase; aos3 gene	potato			mRNA|			
Contig29	78191093	DQ218277	DQ218277	UDP-glucose:solanidine glucosyltransferase	Sgt2	UDP-glucose:solanidine glucosyltransferase		Solanum tuberosum cultivar Lemhi UDP-glucose:solanidine glucosyltransferase (Sgt2) mRNA, Sgt2.2 allele, complete cds.		potato	16298403|		mRNA|		sgt2.2	
	78191091	DQ218276	DQ218276					Solanum tuberosum cultivar Lemhi UDP-glucose:solanidine glucosyltransferase (Sgt2) mRNA, Sgt2.1 allele, complete cds.		potato	16298403|		mRNA|		sgt2.1	
Contig30	7209268	AJ276244	AJ276244	9-cis-epoxy-carotenoid dioxygenase 1	nced1	9-cis-epoxy-carotenoid dioxygenase 1		Solanum tuberosum mRNA for putative 9-cis-epoxycarotenoid dioxygenase (nced1 gene).	9-cis-epoxycarotenoid dioxygenase; nced1 gene	potato			mRNA|			
	50346888	AY662342	AY662342					Solanum tuberosum 9-cis-epoxy-carotenoid dioxygenase 1 mRNA, complete cds.		potato			mRNA|			
Contig31	58219937	AY874411	AY874411	late blight resistance	Rpiber	late blight resistance	RPi-ber	Solanum tuberosum isolate TG386 cultivar HH1-9, genomic sequence.		potato	16402191|	10	genomic DNA|	TG386		
Contig31	58219935	AY874409	AY874409					Solanum tuberosum isolate TG386 cultivar USW-2230 Saco, genomic sequence.		potato	16402191|	10	genomic DNA|	TG386		
Contig31	58219934	AY874408	AY874408					Solanum tuberosum isolate T1682 cultivar HH1-9, genomic sequence.		potato	16402191|	10	genomic DNA|	T1682		
Contig31	58219932	AY874406	AY874406					Solanum tuberosum isolate T1682 cultivar USW-2230 Saco, genomic sequence.		potato	16402191|	10	genomic DNA|	T1682		
Contig31	58219931	AY874405	AY874405					Solanum tuberosum isolate CT240 cultivar HH1-9, genomic sequence.		potato	16402191|	10	genomic DNA|	CT240		
Contig31	58219929	AY874403	AY874403					Solanum tuberosum isolate CT240 cultivar USW-2230 Saco, genomic sequence.		potato	16402191|	10	genomic DNA|	CT240		
Contig31	58219928	AY874402	AY874402					Solanum tuberosum isolate CT238 cultivar HH1-9, genomic sequence.		potato	16402191|	10	genomic DNA|	CT238		
Contig31	58219926	AY874400	AY874400					Solanum tuberosum isolate CT238 cultivar USW-2230 Saco, genomic sequence.		potato	16402191|	10	genomic DNA|	CT238		
Contig31	58219925	AY874399	AY874399					Solanum tuberosum isolate CT214 cultivar HH1-9, genomic sequence.		potato	16402191|	10	genomic DNA|	CT214		
Contig31	58219923	AY874397	AY874397					Solanum tuberosum isolate CT214 cultivar USW-2230 Saco, genomic sequence.		potato	16402191|	10	genomic DNA|	CT214		
Contig31	58219922	AY874396	AY874396					Solanum tuberosum isolate CT11 cultivar HH1-9, genomic sequence.		potato	16402191|	10	genomic DNA|	CT11		
Contig31	58219920	AY874394	AY874394					Solanum tuberosum isolate CT11 cultivar USW-2230 Saco, genomic sequence.		potato	16402191|	10	genomic DNA|	CT11		
Contig31	58219917	AY874391	AY874391					Solanum tuberosum isolate CD5 cultivar HH1-9, genomic sequence.		potato	16402191|	10	genomic DNA|	CD5		
Contig31	58219918	AY874392	AY874392					Solanum tuberosum isolate CD5 cultivar USW-2230 Saco, genomic sequence.		potato	16402191|	10	genomic DNA|	CD5		
Contig38	24745610	AB061246	AB061246	cathepsin D inhibitor,	cdi	cathepsin D inhibitor,	StCDI	Solanum tuberosum StCDI mRNA for cathepsin D inhibitor, complete cds.		potato			mRNA|			
	19908427	AY083349	AY083349					Solanum tuberosum aspartic proteinase inhibitor P2B4 mRNA, partial cds.		potato	12783302|		mRNA|			
	401842	X74985	X74985					S.tuberosum gene for cathepsin D inhibitor.	cathepsin D inhibitor	potato	7948907|		genomic DNA|			
	21420	X67843	X67843				Cdi	S.tuberosum Cdi mRNA for cathepsin D inhibitor.	cathepsin D inhibitor; cdi gene	potato	1392612|		mRNA|			
	19908425	AY083348	AY083348					Solanum tuberosum Kunitz-type enzyme inhibitor P4E1 precursor, mRNA, complete cds.		potato	12783302|		mRNA|			
	73920898	DQ168311	DQ168311					Solanum tuberosum clone 002D05 Kunitz-type protease inhibitor precursor, mRNA, complete cds.		potato			mRNA|			
	73920938	DQ168325	DQ168325					Solanum tuberosum clone 134F08 Kunitz-type protease inhibitor precursor, mRNA, complete cds.		potato			mRNA|			
	19919827	AF490593	AF490593					Solanum tuberosum aspartic proteinase inhibitor precursor P1E9 mRNA, complete cds.		potato	12783302|		mRNA|			
	20148755	AY089960	AY089960					Solanum tuberosum aspartic proteinase inhibitor precursor P8G5 mRNA, complete cds.		potato	12783302|		mRNA|			
	20148753	AY089959	AY089959					Solanum tuberosum aspartic proteinase inhibitor precursor P7E9 mRNA, complete cds.		potato	12783302|		mRNA|			
