row	Gene Family	Gene Symbol	Locus	GenBank Accession	GO	GO Relationship_Type	GO Evidence Code	GO Reference	PO	PO Relationship_Type	PO Evidence Code	PO Reference	PO_dev	PO_dev Relationship_Type	PO_dev Evidence Code	PO_dev Reference	SPO	Pubmed:24260152
50			Solyc07g006500.2.1		biological_process--GO:0052567--response to defense-related host reactive oxygen species production	involved_in	inferred from direct assay	14973161	plant_anatomy--PO:0025034--leaf	expressed_in	inferred from expression pattern	14973161						
51			Solyc04g071360.2.1		biological_process--GO:0052567--response to defense-related host reactive oxygen species production	involved_in	inferred from direct assay	14973161	plant_anatomy--PO:0025034--leaf	expressed_in	inferred from expression pattern	14973161						
52			Solyc05g055160.2.1		biological_process--GO:0052567--response to defense-related host reactive oxygen species production	involved_in	inferred from direct assay	14973161	plant_anatomy--PO:0025034--leaf	expressed_in	inferred from expression pattern	14973161						
53			Solyc09g075180.2.1		biological_process--GO:0052567--response to defense-related host reactive oxygen species production	involved_in	inferred from direct assay	14973161	plant_anatomy--PO:0025034--leaf	expressed_in	inferred from expression pattern	14973161						
54			Solyc08g078560.2.1		biological_process--GO:0052567--response to defense-related host reactive oxygen species production	involved_in	inferred from direct assay	14973161	plant_anatomy--PO:0025034--leaf	expressed_in	inferred from expression pattern	14973161						
55			Solyc12g005770.1.1		biological_process--GO:0052567--response to defense-related host reactive oxygen species production	involved_in	inferred from direct assay	14973161	plant_anatomy--PO:0025034--leaf	expressed_in	inferred from expression pattern	14973161						
56			Solyc01g107850.2.1		biological_process--GO:0052567--response to defense-related host reactive oxygen species production	involved_in	inferred from direct assay	14973161	plant_anatomy--PO:0025034--leaf	expressed_in	inferred from expression pattern	14973161						
57			Solyc01g107820.2.1		biological_process--GO:0052567--response to defense-related host reactive oxygen species production	involved_in	inferred from direct assay	14973161	plant_anatomy--PO:0025034--leaf	expressed_in	inferred from expression pattern	14973161						
58			Solyc01g112220.2.1		biological_process--GO:0052567--response to defense-related host reactive oxygen species production	involved_in	inferred from direct assay	14973161	plant_anatomy--PO:0025034--leaf	expressed_in	inferred from expression pattern	14973161						
59			Solyc09g065660.2.1		biological_process--GO:0052567--response to defense-related host reactive oxygen species production	involved_in	inferred from direct assay	14973161	plant_anatomy--PO:0025034--leaf	expressed_in	inferred from expression pattern	14973161						
60			Solyc03g079940.2.1		biological_process--GO:0052567--response to defense-related host reactive oxygen species production	involved_in	inferred from direct assay	14973161	plant_anatomy--PO:0025034--leaf	expressed_in	inferred from expression pattern	14973161						
61			Solyc02g032950.2.1		biological_process--GO:0052567--response to defense-related host reactive oxygen species production	involved_in	inferred from direct assay	14973161	plant_anatomy--PO:0025034--leaf	expressed_in	inferred from expression pattern	14973161						
62			Solyc08g029000.2.1		biological_process--GO:0052567--response to defense-related host reactive oxygen species production	involved_in	inferred from direct assay	14973161	plant_anatomy--PO:0025034--leaf	expressed_in	inferred from expression pattern	14973161						
63			Solyc02g087360.2.1		biological_process--GO:0052567--response to defense-related host reactive oxygen species production	involved_in	inferred from direct assay	14973161	plant_anatomy--PO:0025034--leaf	expressed_in	inferred from expression pattern	14973161						
64			Solyc03g093600.1.1		biological_process--GO:0052567--response to defense-related host reactive oxygen species production	involved_in	inferred from direct assay	14973161	plant_anatomy--PO:0025034--leaf	expressed_in	inferred from expression pattern	14973161						
65			Solyc02g077370.1.1		biological_process--GO:0052567--response to defense-related host reactive oxygen species production	involved_in	inferred from direct assay	14973161	plant_anatomy--PO:0025034--leaf	expressed_in	inferred from expression pattern	14973161						
66			Solyc03g122350.2.1		biological_process--GO:0052567--response to defense-related host reactive oxygen species production	involved_in	inferred from direct assay	14973161	plant_anatomy--PO:0025034--leaf	expressed_in	inferred from expression pattern	14973161						
67			Solyc02g077100.2.1		biological_process--GO:0052567--response to defense-related host reactive oxygen species production	involved_in	inferred from direct assay	14973161	plant_anatomy--PO:0025034--leaf	expressed_in	inferred from expression pattern	14973161						
68			Solyc09g083130.2.1		biological_process--GO:0052567--response to defense-related host reactive oxygen species production	involved_in	inferred from direct assay	14973161	plant_anatomy--PO:0025034--leaf	expressed_in	inferred from expression pattern	14973161						
69			Solyc12g009520.1.1		biological_process--GO:0052567--response to defense-related host reactive oxygen species production	involved_in	inferred from direct assay	14973161	plant_anatomy--PO:0025034--leaf	expressed_in	inferred from expression pattern	14973161						
70			Solyc01g087620.2.1		biological_process--GO:0052567--response to defense-related host reactive oxygen species production	involved_in	inferred from direct assay	14973161	plant_anatomy--PO:0025034--leaf	expressed_in	inferred from expression pattern	14973161						
71			Solyc03g007460.1.1		biological_process--GO:0052567--response to defense-related host reactive oxygen species production	involved_in	inferred from direct assay	14973161	plant_anatomy--PO:0025034--leaf	expressed_in	inferred from expression pattern	14973161						
72			Solyc09g009140.2.1		biological_process--GO:0052567--response to defense-related host reactive oxygen species production	involved_in	inferred from direct assay	14973161	plant_anatomy--PO:0025034--leaf	expressed_in	inferred from expression pattern	14973161						
73			Solyc09g075990.2.1		biological_process--GO:0052567--response to defense-related host reactive oxygen species production	involved_in	inferred from direct assay	14973161	plant_anatomy--PO:0025034--leaf	expressed_in	inferred from expression pattern	14973161						
74			Solyc08g082640.2.1		biological_process--GO:0052567--response to defense-related host reactive oxygen species production	involved_in	inferred from direct assay	14973161	plant_anatomy--PO:0025034--leaf	expressed_in	inferred from expression pattern	14973161						
75			Solyc08g082670.2.1		biological_process--GO:0052567--response to defense-related host reactive oxygen species production	involved_in	inferred from direct assay	14973161	plant_anatomy--PO:0025034--leaf	expressed_in	inferred from expression pattern	14973161						
76			Solyc01g007030.2.1		biological_process--GO:0052567--response to defense-related host reactive oxygen species production	involved_in	inferred from direct assay	14973161	plant_anatomy--PO:0025034--leaf	expressed_in	inferred from expression pattern	14973161						
77			Solyc01g007010.2.1		biological_process--GO:0052567--response to defense-related host reactive oxygen species production	involved_in	inferred from direct assay	14973161	plant_anatomy--PO:0025034--leaf	expressed_in	inferred from expression pattern	14973161						
78			Solyc05g013880.1.1		biological_process--GO:0052567--response to defense-related host reactive oxygen species production	involved_in	inferred from direct assay	14973161	plant_anatomy--PO:0025034--leaf	expressed_in	inferred from expression pattern	14973161						
79			Solyc06g069330.2.1		biological_process--GO:0052567--response to defense-related host reactive oxygen species production	involved_in	inferred from direct assay	14973161	plant_anatomy--PO:0025034--leaf	expressed_in	inferred from expression pattern	14973161						
80			Solyc05g009760.1.1		biological_process--GO:0052567--response to defense-related host reactive oxygen species production	involved_in	inferred from direct assay	14973161	plant_anatomy--PO:0025034--leaf	expressed_in	inferred from expression pattern	14973161						
81			Solyc06g049070.2.1		biological_process--GO:0052567--response to defense-related host reactive oxygen species production	involved_in	inferred from direct assay	14973161	plant_anatomy--PO:0025034--leaf	expressed_in	inferred from expression pattern	14973161						
82			Solyc06g063270.2.1		biological_process--GO:0052567--response to defense-related host reactive oxygen species production	involved_in	inferred from direct assay	14973161	plant_anatomy--PO:0025034--leaf	expressed_in	inferred from expression pattern	14973161						
83			Solyc02g071820.2.1		biological_process--GO:0052567--response to defense-related host reactive oxygen species production	involved_in	inferred from direct assay	14973161	plant_anatomy--PO:0025034--leaf	expressed_in	inferred from expression pattern	14973161						
84			Solyc01g105120.2.1		biological_process--GO:0052567--response to defense-related host reactive oxygen species production	involved_in	inferred from direct assay	14973161	plant_anatomy--PO:0025034--leaf	expressed_in	inferred from expression pattern	14973161						
85			Solyc09g066440.2.1		biological_process--GO:0052567--response to defense-related host reactive oxygen species production	involved_in	inferred from direct assay	14973161	plant_anatomy--PO:0025034--leaf	expressed_in	inferred from expression pattern	14973161						
86			Solyc01g108130.2.1		biological_process--GO:0052567--response to defense-related host reactive oxygen species production	involved_in	inferred from direct assay	14973161	plant_anatomy--PO:0025034--leaf	expressed_in	inferred from expression pattern	14973161						
87			Solyc00g007100.2.1		biological_process--GO:0052567--response to defense-related host reactive oxygen species production	involved_in	inferred from direct assay	14973161	plant_anatomy--PO:0025034--leaf	expressed_in	inferred from expression pattern	14973161						
88			Solyc08g082410.2.1		biological_process--GO:0052567--response to defense-related host reactive oxygen species production	involved_in	inferred from direct assay	14973161	plant_anatomy--PO:0025034--leaf	expressed_in	inferred from expression pattern	14973161						
89			Solyc07g066330.2.1		biological_process--GO:0052567--response to defense-related host reactive oxygen species production	involved_in	inferred from direct assay	14973161	plant_anatomy--PO:0025034--leaf	expressed_in	inferred from expression pattern	14973161						
90			Solyc05g013670.2.1		biological_process--GO:0052567--response to defense-related host reactive oxygen species production	involved_in	inferred from direct assay	14973161	plant_anatomy--PO:0025034--leaf	expressed_in	inferred from expression pattern	14973161						
91			Solyc07g042550.2.1		biological_process--GO:0052567--response to defense-related host reactive oxygen species production	involved_in	inferred from direct assay	14973161	plant_anatomy--PO:0025034--leaf	expressed_in	inferred from expression pattern	14973161						
92			Solyc04g008500.2.1		biological_process--GO:0052567--response to defense-related host reactive oxygen species production	involved_in	inferred from direct assay	14973161	plant_anatomy--PO:0025034--leaf	expressed_in	inferred from expression pattern	14973161						
93			Solyc01g088370.2.1		biological_process--GO:0052567--response to defense-related host reactive oxygen species production	involved_in	inferred from direct assay	14973161	plant_anatomy--PO:0025034--leaf	expressed_in	inferred from expression pattern	14973161						
94			Solyc03g113980.2.1		biological_process--GO:0052567--response to defense-related host reactive oxygen species production	involved_in	inferred from direct assay	14973161	plant_anatomy--PO:0025034--leaf	expressed_in	inferred from expression pattern	14973161						
95			Solyc01g009500.2.1		biological_process--GO:0052567--response to defense-related host reactive oxygen species production	involved_in	inferred from direct assay	14973161	plant_anatomy--PO:0025034--leaf	expressed_in	inferred from expression pattern	14973161						
96			Solyc05g053830.2.1		biological_process--GO:0052567--response to defense-related host reactive oxygen species production	involved_in	inferred from direct assay	14973161	plant_anatomy--PO:0025034--leaf	expressed_in	inferred from expression pattern	14973161						
97			Solyc08g028910.1.1		biological_process--GO:0052567--response to defense-related host reactive oxygen species production	involved_in	inferred from direct assay	14973161	plant_anatomy--PO:0025034--leaf	expressed_in	inferred from expression pattern	14973161						
98			Solyc01g109120.2.1		biological_process--GO:0052567--response to defense-related host reactive oxygen species production	involved_in	inferred from direct assay	14973161	plant_anatomy--PO:0025034--leaf	expressed_in	inferred from expression pattern	14973161						
99			Solyc01g099460.1.1		biological_process--GO:0052567--response to defense-related host reactive oxygen species production	involved_in	inferred from direct assay	14973161	plant_anatomy--PO:0025034--leaf	expressed_in	inferred from expression pattern	14973161						
100			Solyc08g006750.2.1		biological_process--GO:0052567--response to defense-related host reactive oxygen species production	involved_in	inferred from direct assay	14973161	plant_anatomy--PO:0025034--leaf	expressed_in	inferred from expression pattern	14973161						
101			Solyc11g013490.1.1		biological_process--GO:0052567--response to defense-related host reactive oxygen species production	involved_in	inferred from direct assay	14973161	plant_anatomy--PO:0025034--leaf	expressed_in	inferred from expression pattern	14973161						
102			Solyc09g089660.2.1		biological_process--GO:0052567--response to defense-related host reactive oxygen species production	involved_in	inferred from direct assay	14973161	plant_anatomy--PO:0025034--leaf	expressed_in	inferred from expression pattern	14973161						
103			Solyc08g005900.2.1		biological_process--GO:0052567--response to defense-related host reactive oxygen species production	involved_in	inferred from direct assay	14973161	plant_anatomy--PO:0025034--leaf	expressed_in	inferred from expression pattern	14973161						
104			Solyc08g078340.2.1		biological_process--GO:0052567--response to defense-related host reactive oxygen species production	involved_in	inferred from direct assay	14973161	plant_anatomy--PO:0025034--leaf	expressed_in	inferred from expression pattern	14973161						
105			Solyc08g077210.2.1		biological_process--GO:0052567--response to defense-related host reactive oxygen species production	involved_in	inferred from direct assay	14973161	plant_anatomy--PO:0025034--leaf	expressed_in	inferred from expression pattern	14973161						
106			Solyc02g036480.1.1		biological_process--GO:0052567--response to defense-related host reactive oxygen species production	involved_in	inferred from direct assay	14973161	plant_anatomy--PO:0025034--leaf	expressed_in	inferred from expression pattern	14973161						
107			Solyc03g082590.2.1		biological_process--GO:0052567--response to defense-related host reactive oxygen species production	involved_in	inferred from direct assay	14973161	plant_anatomy--PO:0025034--leaf	expressed_in	inferred from expression pattern	14973161						
108			Solyc03g080050.2.1		biological_process--GO:0052567--response to defense-related host reactive oxygen species production	involved_in	inferred from direct assay	14973161	plant_anatomy--PO:0025034--leaf	expressed_in	inferred from expression pattern	14973161						
109			Solyc12g095860.1.1		biological_process--GO:0052567--response to defense-related host reactive oxygen species production	involved_in	inferred from direct assay	14973161	plant_anatomy--PO:0025034--leaf	expressed_in	inferred from expression pattern	14973161						
110			Solyc06g008720.2.1		biological_process--GO:0052567--response to defense-related host reactive oxygen species production	involved_in	inferred from direct assay	14973161	plant_anatomy--PO:0025034--leaf	expressed_in	inferred from expression pattern	14973161						
111			Solyc08g077330.2.1		biological_process--GO:0052567--response to defense-related host reactive oxygen species production	involved_in	inferred from direct assay	14973161	plant_anatomy--PO:0025034--leaf	expressed_in	inferred from expression pattern	14973161						
112			Solyc08g077320.1.1		biological_process--GO:0052567--response to defense-related host reactive oxygen species production	involved_in	inferred from direct assay	14973161	plant_anatomy--PO:0025034--leaf	expressed_in	inferred from expression pattern	14973161						
113			Solyc01g007110.2.1		biological_process--GO:0052567--response to defense-related host reactive oxygen species production	involved_in	inferred from direct assay	14973161	plant_anatomy--PO:0025034--leaf	expressed_in	inferred from expression pattern	14973161						
114			Solyc04g081410.2.1		biological_process--GO:0052567--response to defense-related host reactive oxygen species production	involved_in	inferred from direct assay	14973161	plant_anatomy--PO:0025034--leaf	expressed_in	inferred from expression pattern	14973161						
115			Solyc04g079840.2.1		biological_process--GO:0052567--response to defense-related host reactive oxygen species production	involved_in	inferred from direct assay	14973161	plant_anatomy--PO:0025034--leaf	expressed_in	inferred from expression pattern	14973161						
116			Solyc10g081970.1.1		biological_process--GO:0052567--response to defense-related host reactive oxygen species production	involved_in	inferred from direct assay	14973161	plant_anatomy--PO:0025034--leaf	expressed_in	inferred from expression pattern	14973161						
117			Solyc11g071840.1.1		biological_process--GO:0052567--response to defense-related host reactive oxygen species production	involved_in	inferred from direct assay	14973161	plant_anatomy--PO:0025034--leaf	expressed_in	inferred from expression pattern	14973161						
118			Solyc09g092480.1.1		biological_process--GO:0052567--response to defense-related host reactive oxygen species production	involved_in	inferred from direct assay	14973161	plant_anatomy--PO:0025034--leaf	expressed_in	inferred from expression pattern	14973161						
119			Solyc12g010570.1.1		biological_process--GO:0052567--response to defense-related host reactive oxygen species production	involved_in	inferred from direct assay	14973161	plant_anatomy--PO:0025034--leaf	expressed_in	inferred from expression pattern	14973161						
120			Solyc02g087850.1.1		biological_process--GO:0052567--response to defense-related host reactive oxygen species production	involved_in	inferred from direct assay	14973161	plant_anatomy--PO:0025034--leaf	expressed_in	inferred from expression pattern	14973161						
121			Solyc03g116800.2.1		biological_process--GO:0052567--response to defense-related host reactive oxygen species production	involved_in	inferred from direct assay	14973161	plant_anatomy--PO:0025034--leaf	expressed_in	inferred from expression pattern	14973161						
122			Solyc06g084220.1.1		biological_process--GO:0052567--response to defense-related host reactive oxygen species production	involved_in	inferred from direct assay	14973161	plant_anatomy--PO:0025034--leaf	expressed_in	inferred from expression pattern	14973161						
123			Solyc01g112040.2.1		biological_process--GO:0052567--response to defense-related host reactive oxygen species production	involved_in	inferred from direct assay	14973161	plant_anatomy--PO:0025034--leaf	expressed_in	inferred from expression pattern	14973161						
124			Solyc05g055310.2.1		biological_process--GO:0052567--response to defense-related host reactive oxygen species production	involved_in	inferred from direct assay	14973161	plant_anatomy--PO:0025034--leaf	expressed_in	inferred from expression pattern	14973161						
125			Solyc08g028780.1.1		biological_process--GO:0052567--response to defense-related host reactive oxygen species production	involved_in	inferred from direct assay	14973161	plant_anatomy--PO:0025034--leaf	expressed_in	inferred from expression pattern	14973161						
126			Solyc01g104110.2.1		biological_process--GO:0052567--response to defense-related host reactive oxygen species production	involved_in	inferred from direct assay	14973161	plant_anatomy--PO:0025034--leaf	expressed_in	inferred from expression pattern	14973161						
127			Solyc01g108170.2.1		biological_process--GO:0052567--response to defense-related host reactive oxygen species production	involved_in	inferred from direct assay	14973161	plant_anatomy--PO:0025034--leaf	expressed_in	inferred from expression pattern	14973161						
128			Solyc12g088370.1.1		biological_process--GO:0052567--response to defense-related host reactive oxygen species production	involved_in	inferred from direct assay	14973161	plant_anatomy--PO:0025034--leaf	expressed_in	inferred from expression pattern	14973161						
129			Solyc09g042700.2.1		biological_process--GO:0052567--response to defense-related host reactive oxygen species production	involved_in	inferred from direct assay	14973161	plant_anatomy--PO:0025034--leaf	expressed_in	inferred from expression pattern	14973161						
130			Solyc06g053800.1.1		biological_process--GO:0052567--response to defense-related host reactive oxygen species production	involved_in	inferred from direct assay	14973161	plant_anatomy--PO:0025034--leaf	expressed_in	inferred from expression pattern	14973161						
131			Solyc11g051200.1.1		biological_process--GO:0052567--response to defense-related host reactive oxygen species production	involved_in	inferred from direct assay	14973161	plant_anatomy--PO:0025034--leaf	expressed_in	inferred from expression pattern	14973161						
132			Solyc04g081970.2.1		biological_process--GO:0052567--response to defense-related host reactive oxygen species production	involved_in	inferred from direct assay	14973161	plant_anatomy--PO:0025034--leaf	expressed_in	inferred from expression pattern	14973161						
133			Solyc06g065390.2.1		biological_process--GO:0052567--response to defense-related host reactive oxygen species production	involved_in	inferred from direct assay	14973161	plant_anatomy--PO:0025034--leaf	expressed_in	inferred from expression pattern	14973161						
134			Solyc09g007520.2.1		biological_process--GO:0052567--response to defense-related host reactive oxygen species production	involved_in	inferred from direct assay	14973161	plant_anatomy--PO:0025034--leaf	expressed_in	inferred from expression pattern	14973161						
